Machine,Model,SO_LI,CW,Component,Size,QTY,Knit Start date,Knit end date
A01,AIR MARIAH,80002260::040,AA0521-007,LU,9.5,1,21/12/2017,21/12/2017
A01,AIR MARIAH,80002260::040,AA0521-007,LU,10,1,22/12/2017,27/12/2017
A01,AIR MARIAH,80002132::020,918264-403,LU,7.5,14,27/12/2017,27/12/2017
A01,AIR MARIAH,80002132::020,918264-403,LU,7,14,27/12/2017,27/12/2017
A01,AIR MARIAH,80002260::040,AA0521-007,LU,10.5,1,27/12/2017,27/12/2017
A01,AIR MARIAH,80002132::020,918264-403,LU,8,71,28/12/2017,29/12/2017
A01,AIR MARIAH,80002132::020,918264-403,LU,8.5,71,29/12/2017,30/12/2017
A01,AIR MARIAH,80002132::020,918264-403,LU,9,127,30/12/2017,4/01/2018
A01,AIR MARIAH,80002132::020,918264-403,LU,9.5,110,4/01/2018,6/01/2018
A01,AIR MARIAH,80002132::020,918264-403,LU,10,136,6/01/2018,8/01/2018
A01,AIR MARIAH,80002132::020,918264-403,LU,10.5,123,8/01/2018,9/01/2018
A01,AIR MARIAH,80002132::020,918264-403,LU,15,3,9/01/2018,9/01/2018
A01,AIR MARIAH,80002132::020,918264-403,LU,14,5,9/01/2018,9/01/2018
A01,AIR MARIAH,80002132::020,918264-403,LU,12.5,3,9/01/2018,9/01/2018
A02,AIR MARIAH,80002260::040,AA0521-007,RU,9.5,1,21/12/2017,21/12/2017
A02,AIR MARIAH,80002260::040,AA0521-007,RU,10,1,22/12/2017,27/12/2017
A02,AIR MARIAH,80002132::020,918264-403,RU,7.5,14,27/12/2017,27/12/2017
A02,AIR MARIAH,80002132::020,918264-403,RU,7,14,27/12/2017,27/12/2017
A02,AIR MARIAH,80002260::040,AA0521-007,RU,10.5,1,27/12/2017,27/12/2017
A02,AIR MARIAH,80002132::020,918264-403,RU,8,71,28/12/2017,29/12/2017
A02,AIR MARIAH,80002132::020,918264-403,RU,8.5,71,29/12/2017,30/12/2017
A02,AIR MARIAH,80002132::020,918264-403,RU,9,127,30/12/2017,4/01/2018
A02,AIR MARIAH,80002132::020,918264-403,RU,9.5,110,4/01/2018,6/01/2018
A02,AIR MARIAH,80002132::020,918264-403,RU,10,136,6/01/2018,8/01/2018
A02,AIR MARIAH,80002132::020,918264-403,RU,10.5,123,8/01/2018,9/01/2018
A02,AIR MARIAH,80002132::020,918264-403,RU,15,3,9/01/2018,9/01/2018
A02,AIR MARIAH,80002132::020,918264-403,RU,14,5,9/01/2018,9/01/2018
A02,AIR MARIAH,80002132::020,918264-403,RU,12.5,3,9/01/2018,9/01/2018
A03,AIR MARIAH,80002261::010,AA0521-007,LU,4.5,776,27/12/2017,28/12/2017
A03,AIR MARIAH,80002132::020,918264-403,LU,10.5,123,29/12/2017,30/12/2017
A03,AIR MARIAH,80002132::020,918264-403,LU,11,123,30/12/2017,4/01/2018
A03,AIR MARIAH,80002132::020,918264-403,LU,11.5,65,4/01/2018,5/01/2018
A03,AIR MARIAH,80002132::020,918264-403,LU,12,95,5/01/2018,7/01/2018
A03,AIR MARIAH,80002132::020,918264-403,LU,13,72,7/01/2018,8/01/2018
A04,AIR MARIAH,80002261::010,AA0521-007,RU,4.5,776,27/12/2017,28/12/2017
