Season	Model	Machine	Sales Order	Line Item	Del. Date	Colourway	Component	Size	12/9	12/10	12/11	12/12	12/13	12/14	12/15
FA18	FREE 5.0V3	D40	80002214	010	1/11	942839-101	LU	6.5	35	35	38	35	38	15	-
FA18	FREE 5.0V3	D39	80002214	010	1/11	942839-101	RU	6.5	35	35	38	35	38	15	-
FA18	FREE 5.0V3	D38	80002214	010	1/11	942839-101	LU	6.5	35	35	38	35	38	24	-
FA18	FREE 5.0V3	D37	80002214	010	1/11	942839-101	RU	6.5	35	35	38	35	38	24	-
FA18	FREE 5.0V3	D36	80002214	010	1/11	942839-101	LU	6.5	35	35	30	-	-	-	-
FA18	FREE 5.0V3	D36	80002214	010	1/11	942839-101	LU	7.0	-	-	3	33	37	37	10
FA18	FREE 5.0V3	D35	80002214	010	1/11	942839-101	RU	6.5	35	35	30	-	-	-	-
FA18	FREE 5.0V3	D35	80002214	010	1/11	942839-101	RU	7.0	-	-	3	33	37	37	10
FA18	FREE 5.0V3	D34	80002214	010	1/11	942839-101	LU	7.0	33	33	37	33	37	30	-
FA18	FREE 5.0V3	D33	80002214	010	1/11	942839-101	RU	7.0	33	33	37	33	37	30	-
FA18	FREE 5.0V3	D32	80002214	010	1/11	942839-101	LU	7.0	33	33	37	33	37	27	-
FA18	FREE 5.0V3	D31	80002214	010	1/11	942839-101	RU	7.0	33	33	37	33	37	27	-
FA18	FREE 5.0V3	D30	80002214	010	1/11	942839-101	LU	7.0	33	33	37	33	37	27	-
FA18	FREE 5.0V3	D29	80002214	010	1/11	942839-101	RU	7.0	33	33	37	33	37	27	-
FA18	FREE 5.0V3	D28	80002214	010	1/11	942839-101	LU	7.0	33	33	37	33	37	31	-
FA18	FREE 5.0V3	D27	80002214	010	1/11	942839-101	RU	7.0	33	33	37	33	37	31	-
FA18	FREE 5.0V3	D26	80002214	010	1/11	942839-101	LU	7.0	33	33	37	33	37	32	-
