Sales Order,Line Item,Side and color,Machine number,Order Start,Order End,Planned Qty,Size,Section
80001728,30,KNRU-70001953,X37,20170519,20170525,204,8,Knit
80001728,30,KNRU-70001953,X36,20170523,20170525,42,8.5,Knit
80001728,30,KNRU-70001953,X35,20170523,20170525,42,8.5,Knit
80001728,30,KNRU-70001953,X24,20170523,20170526,72,7.5,Knit
80001728,30,KNRU-70001953,X23,20170523,20170526,72,7.5,Knit
80001728,30,KNRU-70001953,X23,20170522,20170523,30,10.5,Knit
80001728,30,KNLU-70001953,X23,20170523,20170523,18,5,Knit
80001728,30,KNRU-70001953,X38,20170519,20170525,204,8,Knit
80001728,30,KNRU-70001953,X24,20170523,20170523,18,5,Knit
80001728,30,KNLU-70001953,X30,20170523,20170525,42,5.5,Knit
80001728,30,KNRU-70001953,X29,20170523,20170525,42,5.5,Knit
80001728,30,KNLU-70001953,X33,20170519,20170525,186,6.5,Knit
80001728,30,KNLU-70001953,X27,20170519,20170526,216,8.5,Knit
80001728,30,KNLU-70001953,X23,20170520,20170522,54,10,Knit
80001728,30,KNLU-70001953,X40,20170519,20170522,102,6,Knit
80001728,30,KNRU-70001953,X34,20170525,20170525,6,11,Knit
80001728,30,KNRU-70001953,X24,20170520,20170522,54,10,Knit
80001728,30,KNLU-70001953,X39,20170522,20170525,96,9,Knit
80001728,30,KNLU-70001953,X32,20170519,20170525,204,7,Knit
80001728,30,KNLU-70001953,X24,20170522,20170523,30,10.5,Knit
80001728,30,KNRU-70001953,X29,20170519,20170523,138,9.5,Knit
80001728,30,KNLU-70001953,X31,20170519,20170525,204,7,Knit
80001728,30,KNRU-70001953,X39,20170519,20170522,102,6,Knit
80001728,30,KNLU-70001953,X40,20170522,20170525,96,9,Knit
80001728,30,KNLU-70001953,X26,20170519,20170526,216,7.5,Knit
80001728,30,KNLU-70001953,X33,20170525,20170525,6,11,Knit
80001728,30,KNLU-70001953,X30,20170519,20170523,138,9.5,Knit
80001728,30,KNLU-70001953,X25,20170519,20170526,216,7.5,Knit
80001728,30,KNRU-70001953,X36,20170522,20170523,42,9,Knit
80001728,30,KNLU-70001953,X36,20170519,20170522,102,8,Knit
80001728,30,KNRU-70001953,X23,20170519,20170520,42,7,Knit
80001728,30,KNRU-70001953,X34,20170519,20170525,186,6.5,Knit
80001728,30,KNLU-70001953,X35,20170519,20170522,102,8,Knit
80001728,30,KNRU-70001953,X24,20170519,20170520,42,7,Knit
80001728,30,KNRU-70001953,X35,20170522,20170523,42,9,Knit
80001728,30,KNLU-70001953,X28,20170519,20170526,216,8.5,Knit
